| table_schema | table_name                  | ordinal_position | column_name                                       | data_type                   | type_details | is_nullable | column_default    | constraint_type | foreign_key_table_schema | foreign_key_table_name      | foreign_key_column_name |
| people       | educations                  | 10               | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | emails                      | 1                | id                                                | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | people                   | emails                      | id                      |
| people       | emails                      | 2                | people_id                                         | uuid                        |              | YES         | null              | FOREIGN KEY     | people                   | profiles                    | people_id               |
| people       | emails                      | 3                | email                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | emails                      | 4                | priority                                          | integer                     |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | emails                      | 5                | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | emails                      | 6                | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | experiences                 | 1                | id                                                | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | people                   | experiences                 | id                      |
| people       | experiences                 | 2                | people_id                                         | uuid                        |              | YES         | null              | FOREIGN KEY     | people                   | identities                  | people_id               |
| people       | experiences                 | 3                | job_title                                         | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | experiences                 | 4                | start_date                                        | date                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | experiences                 | 5                | end_date                                          | date                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | experiences                 | 6                | summary                                           | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | experiences                 | 7                | current                                           | boolean                     |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | experiences                 | 8                | priority                                          | integer                     |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | experiences                 | 9                | raw_location                                      | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | experiences                 | 10               | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | experiences                 | 11               | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | genders                     | 1                | id                                                | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | people                   | genders                     | id                      |
| people       | genders                     | 2                | people_id                                         | uuid                        |              | YES         | null              | FOREIGN KEY     | people                   | profiles                    | people_id               |
| people       | genders                     | 3                | gender                                            | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | genders                     | 4                | confidence_score                                  | double precision            |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | genders                     | 5                | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | genders                     | 6                | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
